cfg,Lost Data Blocks,Fake Data Blocks,Corrupted Data Blocks,Total Blocks,Percentage Lost Data,Percentage Fake Data,Percentage Corrupted Data,Damaged Percentage,Evil Nodes
client_server,0,0,0,10,0.0,0.0,0.0,0.0,0
client_server,4,119,5,129,3.10077519379845,92.24806201550388,3.875968992248062,96.12403100775194,1
client_server,0,84,7,94,0.0,89.36170212765957,7.446808510638298,96.80851063829786,2
client_server,0,254,9,264,0.0,96.21212121212122,3.4090909090909087,99.62121212121212,3
client_server,0,2612,19,2622,0.0,99.6186117467582,0.7246376811594203,100.34324942791763,4
client_server,0,590,22,600,0.0,98.33333333333333,3.6666666666666665,102.0,5
client_server,0,149,19,159,0.0,93.71069182389937,11.949685534591195,105.66037735849056,6
client_server,0,244,29,254,0.0,96.06299212598425,11.41732283464567,107.48031496062993,7
client_server,0,368,29,378,0.0,97.35449735449735,7.671957671957672,105.02645502645503,8
client_server,0,1257,30,1267,0.0,99.21073401736386,2.367797947908445,101.5785319652723,9
client_server,0,1375,49,1385,0.0,99.27797833935018,3.537906137184116,102.81588447653431,10
p2p,35,0,0,100,35.0,0.0,0.0,0.0,0
p2p,52,250,52,350,14.857142857142858,71.42857142857143,14.857142857142858,86.28571428571429,1
p2p,41,1641,105,1741,2.3549684089603677,94.25617461229179,6.031016657093624,100.28719126938542,2
p2p,68,1491,125,1591,4.274041483343809,93.71464487743557,7.856693903205531,101.5713387806411,3
p2p,46,290,225,390,11.794871794871794,74.35897435897436,57.692307692307686,132.05128205128204,4
p2p,78,1751,213,1851,4.213938411669368,94.59751485683414,11.507293354943274,106.10480821177741,5
p2p,77,824,219,924,8.333333333333332,89.17748917748918,23.7012987012987,112.87878787878788,6
p2p,48,5554,330,5654,0.8489564909798374,98.23134064379201,5.836575875486381,104.06791651927838,7
p2p,46,368,392,468,9.82905982905983,78.63247863247864,83.76068376068376,162.3931623931624,8
p2p,60,3712,372,3812,1.5739769150052465,97.37670514165792,9.758656873032528,107.13536201469046,9
p2p,49,0,415,100,49.0,0.0,415.00000000000006,415.00000000000006,10
client_server,9,415,16,424,2.1226415094339623,97.87735849056604,3.7735849056603774,101.65094339622641,6
client_server,10,22,3,32,31.25,68.75,9.375,78.125,1
client_server,10,155,18,165,6.0606060606060606,93.93939393939394,10.909090909090908,104.84848484848484,1
client_server,10,91,10,101,9.900990099009901,90.0990099009901,9.900990099009901,100.0,1
client_server,0,83,3,93,0.0,89.24731182795699,3.225806451612903,92.47311827956989,1
client_server,3,106,10,116,2.586206896551724,91.37931034482759,8.620689655172415,100.0,1
client_server,0,0,0,10,0.0,0.0,0.0,0.0,0
client_server,0,16,5,26,0.0,61.53846153846154,19.230769230769234,80.76923076923077,1
client_server,0,119,9,129,0.0,92.24806201550388,6.976744186046512,99.2248062015504,2
client_server,0,367,10,377,0.0,97.34748010610079,2.6525198938992043,100.0,3
client_server,0,87,14,97,0.0,89.69072164948454,14.432989690721648,104.1237113402062,4
client_server,0,373,24,383,0.0,97.38903394255874,6.266318537859007,103.65535248041775,5
client_server,4,2170,41,2180,0.1834862385321101,99.54128440366972,1.8807339449541285,101.42201834862385,6
client_server,0,981,23,991,0.0,98.99091826437942,2.320887991927346,101.31180625630677,7
client_server,0,78,38,88,0.0,88.63636363636364,43.18181818181818,131.8181818181818,8
client_server,0,691,31,701,0.0,98.5734664764622,4.42225392296719,102.99572039942939,9
client_server,6,521,56,531,1.1299435028248588,98.11676082862523,10.546139359698682,108.66290018832392,10
p2p,34,0,0,100,34.0,0.0,0.0,0.0,0
p2p,55,504,36,604,9.105960264900661,83.44370860927152,5.960264900662252,89.40397350993378,1
p2p,69,1466,87,1566,4.406130268199234,93.61430395913155,5.555555555555555,99.1698595146871,2
p2p,64,851,119,951,6.729758149316509,89.48475289169295,12.513144058885384,101.99789695057834,3
p2p,62,1463,145,1563,3.966730646193218,93.60204734484965,9.27703134996801,102.87907869481766,4
p2p,67,1462,224,1562,4.289372599231754,93.59795134443021,14.340588988476313,107.93854033290653,5
p2p,51,1786,286,1886,2.704135737009544,94.69777306468717,15.1643690349947,109.86214209968188,6
p2p,69,1172,284,1272,5.4245283018867925,92.13836477987421,22.32704402515723,114.46540880503144,7
p2p,74,1057,303,1157,6.395851339671564,91.35695764909248,26.188418323249785,117.54537597234227,8
p2p,52,1340,395,1440,3.6111111111111107,93.05555555555556,27.430555555555557,120.48611111111111,9
p2p,59,0,447,100,59.0,0.0,447.0,447.0,10
